application_id,display_name,image_filename,brand,alcohol_content,class_type,net_contents,producer,country_of_origin,beverage_type
APP-0025,Granite Peak — Oatmeal Stout,demo_0025.png,Granite Peak,7.2%,Oatmeal Stout,1 L,"Old Mill Distillery, Frankfort, KY",,malt beverage
APP-0026,Old Tom Distillery — London Dry Gin,demo_0026.png,Old Tom Distillery,43%,London Dry Gin,355 mL,"Stone's Throw Distillers, Portland, OR",,distilled spirits
APP-0027,Stone's Throw — Amber Lager,demo_0027.png,Stone's Throw,5.2%,Amber Lager,750 mL,"Harbor Light Brewing, Seattle, WA",,malt beverage
APP-0028,Iron Gate — Kentucky Straight Bourbon Whiskey,demo_0028.png,Iron Gate,46%,Kentucky Straight Bourbon Whiskey,12 fl oz,"Copper Kettle Distillery, Bardstown, KY",,distilled spirits
APP-0029,Cedar Ridge — Single Malt Scotch Whisky,demo_0029.png,Cedar Ridge,47%,Single Malt Scotch Whisky,1.75 L,"Red Barn Brewing, Madison, WI",,distilled spirits
APP-0030,Harbor Light — Pinot Noir,demo_0030.png,Harbor Light,13%,Pinot Noir,500 mL,"Riverbend Spirits, Austin, TX",,wine
APP-0031,Maple Hill — Silver Tequila,demo_0031.png,Maple Hill,40%,Silver Tequila,1 L,"Black Rock Distilling, Reno, NV",,distilled spirits
APP-0032,Silver Creek — Cabernet Sauvignon,demo_0032.png,Silver Creek,14%,Cabernet Sauvignon,355 mL,"Northern Star Distillery, Duluth, MN",,wine
APP-0033,Copper Kettle — Vodka,demo_0033.png,Copper Kettle,45%,Vodka,750 mL,"Amber Fields Distillers, Lawrence, KS",,distilled spirits
APP-0034,Founders Oak — Hefeweizen,demo_0034.png,Founders Oak,6.5%,Hefeweizen,12 fl oz,"Old Tom Distillery, Louisville, KY",Ireland,malt beverage
APP-0035,Blue Mountain — Straight Rye Whiskey,demo_0035.png,Blue Mountain,47%,Straight Rye Whiskey,1.75 L,"Cedar Ridge Spirits, Swisher, IA",,distilled spirits
APP-0036,Red Barn — India Pale Ale,demo_0036.png,Red Barn,4.8%,India Pale Ale,500 mL,"Silver Creek Spirits, Boulder, CO",,malt beverage
APP-0037,Golden Valley — Sparkling Wine,demo_0037.png,Golden Valley,12.5%,Sparkling Wine,1 L,"Blue Mountain Cellars, Napa, CA",,wine
APP-0038,Highland Crest — Blended Whiskey,demo_0038.png,Highland Crest,43%,Blended Whiskey,355 mL,"Highland Crest Distillers, Asheville, NC",,distilled spirits
APP-0039,Riverbend — Chardonnay,demo_0039.png,Riverbend,13.5%,Chardonnay,750 mL,"Emerald Isle Imports, Boston, MA",,wine
APP-0040,Twin Pines — Aged Rum,demo_0040.png,Twin Pines,46%,Aged Rum,12 fl oz,"Sunset Ridge Winery, Paso Robles, CA",,distilled spirits
APP-0041,Emerald Isle — Oatmeal Stout,demo_0041.png,Emerald Isle,4.8%,Oatmeal Stout,1.75 L,"Coastal Bluff Brewing, Monterey, CA",,malt beverage
APP-0042,Black Rock — London Dry Gin,demo_0042.png,Black Rock,50%,London Dry Gin,500 mL,"Granite Peak Cellars, Bozeman, MT",,distilled spirits
APP-0043,White Oak — Amber Lager,demo_0043.png,White Oak,5.5%,Amber Lager,1 L,"Iron Gate Distilling, Nashville, TN",,malt beverage
APP-0044,Sunset Ridge — Kentucky Straight Bourbon Whiskey,demo_0044.png,Sunset Ridge,43%,Kentucky Straight Bourbon Whiskey,355 mL,"Maple Hill Distillery, Burlington, VT",,distilled spirits
APP-0045,Northern Star — Single Malt Scotch Whisky,demo_0045.png,Northern Star,45%,Single Malt Scotch Whisky,750 mL,"Founders Oak Distillers, Key West, FL",Mexico,distilled spirits
APP-0046,Prairie Wind — Pinot Noir,demo_0046.png,Prairie Wind,13%,Pinot Noir,12 fl oz,"Golden Valley Winery, Salem, OR",,wine
APP-0047,Coastal Bluff — Silver Tequila,demo_0047.png,Coastal Bluff,47%,Silver Tequila,1.75 L,"Twin Pines Brewing, Bend, OR",,distilled spirits
APP-0048,Amber Fields — Cabernet Sauvignon,demo_0048.png,Amber Fields,14%,Cabernet Sauvignon,500 mL,"White Oak Cellars, Sonoma, CA",,wine
APP-0049,Old Mill — Vodka,demo_0049.png,Old Mill,40%,Vodka,1 L,"Prairie Wind Spirits, Lincoln, NE",,distilled spirits
APP-0050,Granite Peak — Hefeweizen,demo_0050.png,Granite Peak,7.2%,Hefeweizen,355 mL,"Old Mill Distillery, Frankfort, KY",,malt beverage
APP-0051,Old Tom Distillery — Straight Rye Whiskey,demo_0051.png,Old Tom Distillery,45%,Straight Rye Whiskey,750 mL,"Stone's Throw Distillers, Portland, OR",,distilled spirits
APP-0052,Stone's Throw — India Pale Ale,demo_0052.png,Stone's Throw,5.2%,India Pale Ale,12 fl oz,"Harbor Light Brewing, Seattle, WA",,malt beverage
APP-0053,Iron Gate — Sparkling Wine,demo_0053.png,Iron Gate,12.5%,Sparkling Wine,1.75 L,"Copper Kettle Distillery, Bardstown, KY",,wine
APP-0054,Cedar Ridge — Blended Whiskey,demo_0054.png,Cedar Ridge,50%,Blended Whiskey,500 mL,"Red Barn Brewing, Madison, WI",,distilled spirits
APP-0055,Harbor Light — Chardonnay,demo_0055.png,Harbor Light,13.5%,Chardonnay,1 L,"Riverbend Spirits, Austin, TX",,wine
APP-0056,Maple Hill — Aged Rum,demo_0056.png,Maple Hill,43%,Aged Rum,355 mL,"Black Rock Distilling, Reno, NV",France,distilled spirits
APP-0057,Silver Creek — Oatmeal Stout,demo_0057.png,Silver Creek,5.2%,Oatmeal Stout,750 mL,"Northern Star Distillery, Duluth, MN",,malt beverage
APP-0058,Copper Kettle — London Dry Gin,demo_0058.png,Copper Kettle,46%,London Dry Gin,12 fl oz,"Amber Fields Distillers, Lawrence, KS",,distilled spirits
APP-0059,Founders Oak — Amber Lager,demo_0059.png,Founders Oak,6.5%,Amber Lager,1.75 L,"Old Tom Distillery, Louisville, KY",,malt beverage
APP-0060,Blue Mountain — Kentucky Straight Bourbon Whiskey,demo_0060.png,Blue Mountain,50%,Kentucky Straight Bourbon Whiskey,500 mL,"Cedar Ridge Spirits, Swisher, IA",,distilled spirits
APP-0061,Red Barn — Single Malt Scotch Whisky,demo_0061.png,Red Barn,40%,Single Malt Scotch Whisky,1 L,"Silver Creek Spirits, Boulder, CO",,distilled spirits
APP-0062,Golden Valley — Pinot Noir,demo_0062.png,Golden Valley,13%,Pinot Noir,355 mL,"Blue Mountain Cellars, Napa, CA",,wine
APP-0063,Highland Crest — Silver Tequila,demo_0063.png,Highland Crest,45%,Silver Tequila,750 mL,"Highland Crest Distillers, Asheville, NC",,distilled spirits
APP-0064,Riverbend — Cabernet Sauvignon,demo_0064.png,Riverbend,14%,Cabernet Sauvignon,12 fl oz,"Emerald Isle Imports, Boston, MA",,wine
APP-0065,Twin Pines — Vodka,demo_0065.png,Twin Pines,47%,Vodka,1.75 L,"Sunset Ridge Winery, Paso Robles, CA",,distilled spirits
APP-0066,Emerald Isle — Hefeweizen,demo_0066.png,Emerald Isle,4.8%,Hefeweizen,500 mL,"Coastal Bluff Brewing, Monterey, CA",,malt beverage
APP-0067,Black Rock — Straight Rye Whiskey,demo_0067.png,Black Rock,40%,Straight Rye Whiskey,1 L,"Granite Peak Cellars, Bozeman, MT",Scotland,distilled spirits
APP-0068,White Oak — India Pale Ale,demo_0068.png,White Oak,5.5%,India Pale Ale,355 mL,"Iron Gate Distilling, Nashville, TN",,malt beverage
APP-0069,Sunset Ridge — Sparkling Wine,demo_0069.png,Sunset Ridge,12.5%,Sparkling Wine,750 mL,"Maple Hill Distillery, Burlington, VT",,wine
APP-0070,Northern Star — Blended Whiskey,demo_0070.png,Northern Star,46%,Blended Whiskey,12 fl oz,"Founders Oak Distillers, Key West, FL",,distilled spirits
APP-0071,Prairie Wind — Chardonnay,demo_0071.png,Prairie Wind,13.5%,Chardonnay,1.75 L,"Golden Valley Winery, Salem, OR",,wine
APP-0072,Coastal Bluff — Aged Rum,demo_0072.png,Coastal Bluff,50%,Aged Rum,500 mL,"Twin Pines Brewing, Bend, OR",,distilled spirits
APP-0073,Amber Fields — Oatmeal Stout,demo_0073.png,Amber Fields,5.5%,Oatmeal Stout,1 L,"White Oak Cellars, Sonoma, CA",,malt beverage
APP-0074,Old Mill — London Dry Gin,demo_0074.png,Old Mill,43%,London Dry Gin,355 mL,"Prairie Wind Spirits, Lincoln, NE",,distilled spirits
APP-0075,Granite Peak — Amber Lager,demo_0075.png,Granite Peak,7.2%,Amber Lager,750 mL,"Old Mill Distillery, Frankfort, KY",,malt beverage
APP-0076,Old Tom Distillery — Kentucky Straight Bourbon Whiskey,demo_0076.png,Old Tom Distillery,46%,Kentucky Straight Bourbon Whiskey,12 fl oz,"Stone's Throw Distillers, Portland, OR",,distilled spirits
APP-0077,Stone's Throw — Single Malt Scotch Whisky,demo_0077.png,Stone's Throw,47%,Single Malt Scotch Whisky,1.75 L,"Harbor Light Brewing, Seattle, WA",,distilled spirits
APP-0078,Iron Gate — Pinot Noir,demo_0078.png,Iron Gate,13%,Pinot Noir,500 mL,"Copper Kettle Distillery, Bardstown, KY",Canada,wine
APP-0079,Cedar Ridge — Silver Tequila,demo_0079.png,Cedar Ridge,40%,Silver Tequila,1 L,"Red Barn Brewing, Madison, WI",,distilled spirits
APP-0080,Harbor Light — Cabernet Sauvignon,demo_0080.png,Harbor Light,14%,Cabernet Sauvignon,355 mL,"Riverbend Spirits, Austin, TX",,wine
APP-0081,Maple Hill — Vodka,demo_0081.png,Maple Hill,45%,Vodka,750 mL,"Black Rock Distilling, Reno, NV",,distilled spirits
APP-0082,Silver Creek — Hefeweizen,demo_0082.png,Silver Creek,5.2%,Hefeweizen,12 fl oz,"Northern Star Distillery, Duluth, MN",,malt beverage
APP-0083,Copper Kettle — Straight Rye Whiskey,demo_0083.png,Copper Kettle,47%,Straight Rye Whiskey,1.75 L,"Amber Fields Distillers, Lawrence, KS",,distilled spirits
APP-0084,Founders Oak — India Pale Ale,demo_0084.png,Founders Oak,6.5%,India Pale Ale,500 mL,"Old Tom Distillery, Louisville, KY",,malt beverage
APP-0085,Blue Mountain — Sparkling Wine,demo_0085.png,Blue Mountain,12.5%,Sparkling Wine,1 L,"Cedar Ridge Spirits, Swisher, IA",,wine
APP-0086,Red Barn — Blended Whiskey,demo_0086.png,Red Barn,43%,Blended Whiskey,355 mL,"Silver Creek Spirits, Boulder, CO",,distilled spirits
APP-0087,Golden Valley — Chardonnay,demo_0087.png,Golden Valley,13.5%,Chardonnay,750 mL,"Blue Mountain Cellars, Napa, CA",,wine
APP-0088,Highland Crest — Aged Rum,demo_0088.png,Highland Crest,46%,Aged Rum,12 fl oz,"Highland Crest Distillers, Asheville, NC",,distilled spirits
APP-0089,Riverbend — Oatmeal Stout,demo_0089.png,Riverbend,6.5%,Oatmeal Stout,1.75 L,"Emerald Isle Imports, Boston, MA",Japan,malt beverage
APP-0090,Twin Pines — London Dry Gin,demo_0090.png,Twin Pines,50%,London Dry Gin,500 mL,"Sunset Ridge Winery, Paso Robles, CA",,distilled spirits
APP-0091,Emerald Isle — Amber Lager,demo_0091.png,Emerald Isle,4.8%,Amber Lager,1 L,"Coastal Bluff Brewing, Monterey, CA",,malt beverage
APP-0092,Black Rock — Kentucky Straight Bourbon Whiskey,demo_0092.png,Black Rock,43%,Kentucky Straight Bourbon Whiskey,355 mL,"Granite Peak Cellars, Bozeman, MT",,distilled spirits
APP-0093,White Oak — Single Malt Scotch Whisky,demo_0093.png,White Oak,45%,Single Malt Scotch Whisky,750 mL,"Iron Gate Distilling, Nashville, TN",,distilled spirits
APP-0094,Sunset Ridge — Pinot Noir,demo_0094.png,Sunset Ridge,13%,Pinot Noir,12 fl oz,"Maple Hill Distillery, Burlington, VT",,wine
APP-0095,Northern Star — Silver Tequila,demo_0095.png,Northern Star,47%,Silver Tequila,1.75 L,"Founders Oak Distillers, Key West, FL",,distilled spirits
APP-0096,Prairie Wind — Cabernet Sauvignon,demo_0096.png,Prairie Wind,14%,Cabernet Sauvignon,500 mL,"Golden Valley Winery, Salem, OR",,wine
APP-0097,Coastal Bluff — Vodka,demo_0097.png,Coastal Bluff,40%,Vodka,1 L,"Twin Pines Brewing, Bend, OR",,distilled spirits
APP-0098,Amber Fields — Hefeweizen,demo_0098.png,Amber Fields,5.5%,Hefeweizen,355 mL,"White Oak Cellars, Sonoma, CA",,malt beverage
APP-0099,Old Mill — Straight Rye Whiskey,demo_0099.png,Old Mill,45%,Straight Rye Whiskey,750 mL,"Prairie Wind Spirits, Lincoln, NE",,distilled spirits
APP-0100,Granite Peak — India Pale Ale,demo_0100.png,Granite Peak,7.2%,India Pale Ale,12 fl oz,"Old Mill Distillery, Frankfort, KY",Ireland,malt beverage
APP-0101,Old Tom Distillery — Sparkling Wine,demo_0101.png,Old Tom Distillery,12.5%,Sparkling Wine,1.75 L,"Stone's Throw Distillers, Portland, OR",,wine
APP-0102,Stone's Throw — Blended Whiskey,demo_0102.png,Stone's Throw,50%,Blended Whiskey,500 mL,"Harbor Light Brewing, Seattle, WA",,distilled spirits
APP-0103,Iron Gate — Chardonnay,demo_0103.png,Iron Gate,13.5%,Chardonnay,1 L,"Copper Kettle Distillery, Bardstown, KY",,wine
APP-0104,Cedar Ridge — Aged Rum,demo_0104.png,Cedar Ridge,43%,Aged Rum,355 mL,"Red Barn Brewing, Madison, WI",,distilled spirits
APP-0105,Harbor Light — Oatmeal Stout,demo_0105.png,Harbor Light,7.2%,Oatmeal Stout,750 mL,"Riverbend Spirits, Austin, TX",,malt beverage
APP-0106,Maple Hill — London Dry Gin,demo_0106.png,Maple Hill,46%,London Dry Gin,12 fl oz,"Black Rock Distilling, Reno, NV",,distilled spirits
APP-0107,Silver Creek — Amber Lager,demo_0107.png,Silver Creek,5.2%,Amber Lager,1.75 L,"Northern Star Distillery, Duluth, MN",,malt beverage
APP-0108,Copper Kettle — Kentucky Straight Bourbon Whiskey,demo_0108.png,Copper Kettle,50%,Kentucky Straight Bourbon Whiskey,500 mL,"Amber Fields Distillers, Lawrence, KS",,distilled spirits
APP-0109,Founders Oak — Single Malt Scotch Whisky,demo_0109.png,Founders Oak,40%,Single Malt Scotch Whisky,1 L,"Old Tom Distillery, Louisville, KY",,distilled spirits
APP-0110,Blue Mountain — Pinot Noir,demo_0110.png,Blue Mountain,13%,Pinot Noir,355 mL,"Cedar Ridge Spirits, Swisher, IA",,wine
APP-0111,Red Barn — Silver Tequila,demo_0111.png,Red Barn,45%,Silver Tequila,750 mL,"Silver Creek Spirits, Boulder, CO",Mexico,distilled spirits
APP-0112,Golden Valley — Cabernet Sauvignon,demo_0112.png,Golden Valley,14%,Cabernet Sauvignon,12 fl oz,"Blue Mountain Cellars, Napa, CA",,wine
APP-0113,Highland Crest — Vodka,demo_0113.png,Highland Crest,47%,Vodka,1.75 L,"Highland Crest Distillers, Asheville, NC",,distilled spirits
APP-0114,Riverbend — Hefeweizen,demo_0114.png,Riverbend,6.5%,Hefeweizen,500 mL,"Emerald Isle Imports, Boston, MA",,malt beverage
APP-0115,Twin Pines — Straight Rye Whiskey,demo_0115.png,Twin Pines,40%,Straight Rye Whiskey,1 L,"Sunset Ridge Winery, Paso Robles, CA",,distilled spirits
APP-0116,Emerald Isle — India Pale Ale,demo_0116.png,Emerald Isle,4.8%,India Pale Ale,355 mL,"Coastal Bluff Brewing, Monterey, CA",,malt beverage
APP-0117,Black Rock — Sparkling Wine,demo_0117.png,Black Rock,12.5%,Sparkling Wine,750 mL,"Granite Peak Cellars, Bozeman, MT",,wine
APP-0118,White Oak — Blended Whiskey,demo_0118.png,White Oak,46%,Blended Whiskey,12 fl oz,"Iron Gate Distilling, Nashville, TN",,distilled spirits
APP-0119,Sunset Ridge — Chardonnay,demo_0119.png,Sunset Ridge,13.5%,Chardonnay,1.75 L,"Maple Hill Distillery, Burlington, VT",,wine
APP-0120,Northern Star — Aged Rum,demo_0120.png,Northern Star,50%,Aged Rum,500 mL,"Founders Oak Distillers, Key West, FL",,distilled spirits
APP-0121,Prairie Wind — Oatmeal Stout,demo_0121.png,Prairie Wind,4.8%,Oatmeal Stout,1 L,"Golden Valley Winery, Salem, OR",,malt beverage
APP-0122,Coastal Bluff — London Dry Gin,demo_0122.png,Coastal Bluff,43%,London Dry Gin,355 mL,"Twin Pines Brewing, Bend, OR",France,distilled spirits
APP-0123,Amber Fields — Amber Lager,demo_0123.png,Amber Fields,5.5%,Amber Lager,750 mL,"White Oak Cellars, Sonoma, CA",,malt beverage
APP-0124,Old Mill — Kentucky Straight Bourbon Whiskey,demo_0124.png,Old Mill,46%,Kentucky Straight Bourbon Whiskey,12 fl oz,"Prairie Wind Spirits, Lincoln, NE",,distilled spirits
APP-0125,Granite Peak — Single Malt Scotch Whisky,demo_0125.png,Granite Peak,47%,Single Malt Scotch Whisky,1.75 L,"Old Mill Distillery, Frankfort, KY",,distilled spirits
APP-0126,Old Tom Distillery — Pinot Noir,demo_0126.png,Old Tom Distillery,13%,Pinot Noir,500 mL,"Stone's Throw Distillers, Portland, OR",,wine
APP-0127,Stone's Throw — Silver Tequila,demo_0127.png,Stone's Throw,40%,Silver Tequila,1 L,"Harbor Light Brewing, Seattle, WA",,distilled spirits
APP-0128,Iron Gate — Cabernet Sauvignon,demo_0128.png,Iron Gate,14%,Cabernet Sauvignon,355 mL,"Copper Kettle Distillery, Bardstown, KY",,wine
APP-0129,Cedar Ridge — Vodka,demo_0129.png,Cedar Ridge,45%,Vodka,750 mL,"Red Barn Brewing, Madison, WI",,distilled spirits
APP-0130,Harbor Light — Hefeweizen,demo_0130.png,Harbor Light,7.2%,Hefeweizen,12 fl oz,"Riverbend Spirits, Austin, TX",,malt beverage
APP-0131,Maple Hill — Straight Rye Whiskey,demo_0131.png,Maple Hill,47%,Straight Rye Whiskey,1.75 L,"Black Rock Distilling, Reno, NV",,distilled spirits
APP-0132,Silver Creek — India Pale Ale,demo_0132.png,Silver Creek,5.2%,India Pale Ale,500 mL,"Northern Star Distillery, Duluth, MN",,malt beverage
APP-0133,Copper Kettle — Sparkling Wine,demo_0133.png,Copper Kettle,12.5%,Sparkling Wine,1 L,"Amber Fields Distillers, Lawrence, KS",Scotland,wine
APP-0134,Founders Oak — Blended Whiskey,demo_0134.png,Founders Oak,43%,Blended Whiskey,355 mL,"Old Tom Distillery, Louisville, KY",,distilled spirits
APP-0135,Blue Mountain — Chardonnay,demo_0135.png,Blue Mountain,13.5%,Chardonnay,750 mL,"Cedar Ridge Spirits, Swisher, IA",,wine
APP-0136,Red Barn — Aged Rum,demo_0136.png,Red Barn,46%,Aged Rum,12 fl oz,"Silver Creek Spirits, Boulder, CO",,distilled spirits
APP-0137,Golden Valley — Oatmeal Stout,demo_0137.png,Golden Valley,5.2%,Oatmeal Stout,1.75 L,"Blue Mountain Cellars, Napa, CA",,malt beverage
APP-0138,Highland Crest — London Dry Gin,demo_0138.png,Highland Crest,50%,London Dry Gin,500 mL,"Highland Crest Distillers, Asheville, NC",,distilled spirits
APP-0139,Riverbend — Amber Lager,demo_0139.png,Riverbend,6.5%,Amber Lager,1 L,"Emerald Isle Imports, Boston, MA",,malt beverage
APP-0140,Twin Pines — Kentucky Straight Bourbon Whiskey,demo_0140.png,Twin Pines,43%,Kentucky Straight Bourbon Whiskey,355 mL,"Sunset Ridge Winery, Paso Robles, CA",,distilled spirits
APP-0141,Emerald Isle — Single Malt Scotch Whisky,demo_0141.png,Emerald Isle,45%,Single Malt Scotch Whisky,750 mL,"Coastal Bluff Brewing, Monterey, CA",,distilled spirits
APP-0142,Black Rock — Pinot Noir,demo_0142.png,Black Rock,13%,Pinot Noir,12 fl oz,"Granite Peak Cellars, Bozeman, MT",,wine
APP-0143,White Oak — Silver Tequila,demo_0143.png,White Oak,47%,Silver Tequila,1.75 L,"Iron Gate Distilling, Nashville, TN",,distilled spirits
APP-0144,Sunset Ridge — Cabernet Sauvignon,demo_0144.png,Sunset Ridge,14%,Cabernet Sauvignon,500 mL,"Maple Hill Distillery, Burlington, VT",Canada,wine
APP-0145,Northern Star — Vodka,demo_0145.png,Northern Star,40%,Vodka,1 L,"Founders Oak Distillers, Key West, FL",,distilled spirits
APP-0146,Prairie Wind — Hefeweizen,demo_0146.png,Prairie Wind,4.8%,Hefeweizen,355 mL,"Golden Valley Winery, Salem, OR",,malt beverage
APP-0147,Coastal Bluff — Straight Rye Whiskey,demo_0147.png,Coastal Bluff,45%,Straight Rye Whiskey,750 mL,"Twin Pines Brewing, Bend, OR",,distilled spirits
APP-0148,Amber Fields — India Pale Ale,demo_0148.png,Amber Fields,5.5%,India Pale Ale,12 fl oz,"White Oak Cellars, Sonoma, CA",,malt beverage
APP-0149,Old Mill — Sparkling Wine,demo_0149.png,Old Mill,12.5%,Sparkling Wine,1.75 L,"Prairie Wind Spirits, Lincoln, NE",,wine
APP-0150,Granite Peak — Blended Whiskey,demo_0150.png,Granite Peak,50%,Blended Whiskey,500 mL,"Old Mill Distillery, Frankfort, KY",,distilled spirits
APP-0151,Old Tom Distillery — Chardonnay,demo_0151.png,Old Tom Distillery,13.5%,Chardonnay,1 L,"Stone's Throw Distillers, Portland, OR",,wine
APP-0152,Stone's Throw — Aged Rum,demo_0152.png,Stone's Throw,43%,Aged Rum,355 mL,"Harbor Light Brewing, Seattle, WA",,distilled spirits
APP-0153,Iron Gate — Oatmeal Stout,demo_0153.png,Iron Gate,5.5%,Oatmeal Stout,750 mL,"Copper Kettle Distillery, Bardstown, KY",,malt beverage
APP-0154,Cedar Ridge — London Dry Gin,demo_0154.png,Cedar Ridge,46%,London Dry Gin,12 fl oz,"Red Barn Brewing, Madison, WI",,distilled spirits
APP-0155,Harbor Light — Amber Lager,demo_0155.png,Harbor Light,7.2%,Amber Lager,1.75 L,"Riverbend Spirits, Austin, TX",Japan,malt beverage
APP-0156,Maple Hill — Kentucky Straight Bourbon Whiskey,demo_0156.png,Maple Hill,50%,Kentucky Straight Bourbon Whiskey,500 mL,"Black Rock Distilling, Reno, NV",,distilled spirits
APP-0157,Silver Creek — Single Malt Scotch Whisky,demo_0157.png,Silver Creek,40%,Single Malt Scotch Whisky,1 L,"Northern Star Distillery, Duluth, MN",,distilled spirits
APP-0158,Copper Kettle — Pinot Noir,demo_0158.png,Copper Kettle,13%,Pinot Noir,355 mL,"Amber Fields Distillers, Lawrence, KS",,wine
APP-0159,Founders Oak — Silver Tequila,demo_0159.png,Founders Oak,45%,Silver Tequila,750 mL,"Old Tom Distillery, Louisville, KY",,distilled spirits
APP-0160,Blue Mountain — Cabernet Sauvignon,demo_0160.png,Blue Mountain,14%,Cabernet Sauvignon,12 fl oz,"Cedar Ridge Spirits, Swisher, IA",,wine
APP-0161,Red Barn — Vodka,demo_0161.png,Red Barn,47%,Vodka,1.75 L,"Silver Creek Spirits, Boulder, CO",,distilled spirits
APP-0162,Golden Valley — Hefeweizen,demo_0162.png,Golden Valley,5.2%,Hefeweizen,500 mL,"Blue Mountain Cellars, Napa, CA",,malt beverage
APP-0163,Highland Crest — Straight Rye Whiskey,demo_0163.png,Highland Crest,40%,Straight Rye Whiskey,1 L,"Highland Crest Distillers, Asheville, NC",,distilled spirits
APP-0164,Riverbend — India Pale Ale,demo_0164.png,Riverbend,6.5%,India Pale Ale,355 mL,"Emerald Isle Imports, Boston, MA",,malt beverage
APP-0165,Twin Pines — Sparkling Wine,demo_0165.png,Twin Pines,12.5%,Sparkling Wine,750 mL,"Sunset Ridge Winery, Paso Robles, CA",,wine
APP-0166,Emerald Isle — Blended Whiskey,demo_0166.png,Emerald Isle,46%,Blended Whiskey,12 fl oz,"Coastal Bluff Brewing, Monterey, CA",Ireland,distilled spirits
